date,stage,model,accuracy,precision,recall,f1,mae_score,rmse_score
2026-07-07 01:10:29,R32,logreg,0.5,0.636,0.636,0.636,0.594,0.848
2026-07-07 01:10:29,R32,random_forest,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 01:10:29,R32,xgboost,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 01:35:07,R32,logreg,0.5,0.636,0.636,0.636,0.594,0.848
2026-07-07 01:35:07,R32,random_forest,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 01:35:07,R32,xgboost,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 01:45:57,R32,logreg,0.5,0.636,0.636,0.636,0.594,0.848
2026-07-07 01:45:57,R32,random_forest,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 01:45:57,R32,xgboost,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 01:51:01,R32,logreg,0.5,0.636,0.636,0.636,0.594,0.848
2026-07-07 01:51:01,R32,random_forest,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 01:51:01,R32,xgboost,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 02:39:39,R32,logreg,0.5,0.636,0.636,0.636,0.594,0.848
2026-07-07 02:39:39,R32,random_forest,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 02:39:39,R32,xgboost,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 02:50:07,R32,logreg,0.5,0.636,0.636,0.636,0.594,0.848
2026-07-07 02:50:07,R32,random_forest,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 02:50:07,R32,xgboost,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 02:52:52,R32,logreg,0.5,0.636,0.636,0.636,0.594,0.848
2026-07-07 02:52:52,R32,random_forest,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 02:52:52,R32,xgboost,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 03:01:38,R32,logreg,0.5,0.636,0.636,0.636,0.594,0.848
2026-07-07 03:01:38,R32,random_forest,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 03:01:38,R32,xgboost,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 03:02:35,R32,logreg,0.5,0.636,0.636,0.636,0.594,0.848
2026-07-07 03:02:35,R32,random_forest,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 03:02:35,R32,xgboost,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 03:14:15,R32,logreg,0.5,0.636,0.636,0.636,0.594,0.848
2026-07-07 03:14:15,R32,random_forest,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 03:14:15,R32,xgboost,0.688,0.688,1.0,0.815,0.594,0.848
2026-07-07 04:30:42,R16,logreg,1.0,0.0,0.0,0.0,1.0,1.581
2026-07-07 04:30:42,R16,random_forest,0.5,0.0,0.0,0.0,1.0,1.581
2026-07-07 04:30:42,R16,xgboost,0.5,0.0,0.0,0.0,1.0,1.581
2026-07-07 12:07:39,R16,logreg,0.875,1.0,0.75,0.857,0.25,0.791
2026-07-07 12:07:39,R16,random_forest,0.875,0.8,1.0,0.889,0.25,0.791
2026-07-07 12:07:39,R16,xgboost,0.625,0.571,1.0,0.727,0.25,0.791
2026-07-07 12:20:26,R16,logreg,0.875,1.0,0.75,0.857,0.25,0.791
2026-07-07 12:20:26,R16,random_forest,0.875,0.8,1.0,0.889,0.25,0.791
2026-07-07 12:20:26,R16,xgboost,0.625,0.571,1.0,0.727,0.25,0.791
